capteur_1_t1,capteur_2_t1,capteur_3_t1,capteur_4_t1,capteur_5_t1,capteur_6_t1,classe
453,0,638,16,0,415,Standard
450,0,603,0,0,419,Standard
464,0,576,0,0,430,Standard
479,0,566,7,0,429,Standard
478,0,547,26,0,432,Standard
479,0,535,35,0,433,Standard
479,0,535,16,0,438,Standard
484,0,534,1,0,443,Standard
497,0,498,0,0,442,Standard
496,0,488,0,0,438,Standard
502,0,469,0,0,434,Standard
504,31,432,0,0,422,Standard
498,38,451,0,0,411,Standard
506,16,470,0,0,400,Standard
496,0,511,0,0,395,Standard
496,0,526,0,0,387,Standard
494,0,528,0,0,377,Standard
493,0,530,0,0,380,Standard
489,0,533,0,0,378,Standard
484,0,543,0,0,382,Standard
485,0,577,0,0,430,Standard
464,0,597,0,0,454,Standard
449,0,604,0,0,474,Standard
439,0,608,0,0,490,Standard
442,0,600,0,0,491,Standard
442,0,576,0,0,493,Standard
447,0,563,0,0,486,Standard
450,0,560,0,0,478,Standard
458,0,549,0,0,496,Standard
454,0,543,0,0,529,Standard
450,0,526,0,0,551,Standard
445,0,529,0,0,556,Standard
449,0,495,0,0,561,Standard
450,0,466,0,0,566,Standard
450,0,449,0,0,567,Standard
452,0,420,0,0,578,Standard
466,0,407,0,0,577,Standard
467,0,387,0,0,591,Standard
471,0,385,0,0,605,Standard
477,0,395,0,0,595,Standard
464,0,400,0,0,610,Standard
468,0,432,0,0,612,Standard
460,0,460,0,0,593,Standard
459,0,482,0,0,583,Standard
455,0,499,0,0,580,Standard
451,0,511,0,0,560,Standard
453,0,529,0,0,539,Standard
456,0,550,0,0,525,Standard
453,0,557,0,0,511,Standard
454,0,547,0,0,504,Standard
448,0,530,0,0,495,Standard
446,0,528,0,0,495,Standard
450,0,532,0,0,492,Standard
459,0,559,0,0,483,Standard
459,0,566,0,0,478,Standard
459,0,560,0,0,464,Standard
455,0,544,0,0,438,Standard
454,0,526,0,0,425,Standard
459,5,496,0,0,412,Standard
466,51,465,0,0,394,Standard
476,75,419,0,0,386,Standard
483,97,413,0,0,394,Standard
486,103,400,0,0,399,Standard
483,94,417,0,0,415,Standard
478,80,423,0,0,414,Standard
485,92,403,0,0,406,Standard
485,103,385,0,0,409,Standard
487,104,375,0,0,404,Standard
492,105,363,0,0,398,Standard
498,125,343,0,0,391,Standard
503,141,307,0,0,379,Standard
528,154,298,0,0,366,Standard
523,170,320,0,0,360,Standard
501,153,338,0,0,368,Standard
509,147,355,0,0,377,Standard
498,115,373,0,0,388,Standard
503,33,421,0,0,429,Standard
505,0,463,0,0,429,Standard
479,0,511,13,0,447,Standard
470,0,544,9,0,446,Standard
465,0,562,4,0,440,Standard
459,0,569,0,0,467,Standard
461,0,577,0,0,471,Standard
455,0,580,0,0,484,Standard
450,0,570,0,0,488,Standard
444,0,570,0,0,496,Standard
448,0,552,0,0,503,Standard
442,0,550,0,0,528,Standard
452,0,498,0,0,537,Standard
455,0,464,0,0,532,Standard
461,0,425,0,0,538,Standard
464,30,417,0,0,537,Standard
464,35,404,0,0,530,Standard
471,8,394,0,0,554,Standard
478,14,383,0,0,558,Standard
481,23,368,0,0,553,Standard
478,19,381,0,0,554,Standard
477,57,368,0,0,560,Standard
464,45,369,0,0,585,Standard
479,9,371,0,0,593,Standard
483,0,382,0,0,590,Standard
488,0,375,0,0,599,Standard
484,0,375,0,0,592,Standard
469,0,388,0,0,594,Standard
464,0,405,0,0,599,Standard
452,0,417,0,0,596,Standard
460,0,432,0,0,592,Standard
464,0,434,0,0,559,Standard
464,0,434,0,0,538,Standard
467,0,435,0,0,502,Standard
474,0,459,0,0,498,Standard
479,0,472,0,0,496,Standard
475,0,489,0,0,505,Standard
474,0,486,0,0,502,Standard
467,0,493,0,0,503,Standard
464,0,505,0,0,501,Standard
464,0,533,0,0,506,Standard
464,0,543,6,0,501,Standard
463,0,554,0,0,511,Standard
464,0,558,0,0,479,Standard
464,0,562,0,0,422,Standard
482,0,523,0,0,371,Standard
485,82,466,0,0,345,Standard
496,109,443,0,0,336,Standard
498,119,433,0,0,338,Standard
508,129,432,0,0,336,Standard
505,138,400,0,0,336,Standard
503,135,400,0,0,349,Standard
501,130,395,0,0,351,Standard
502,129,395,0,0,356,Standard
503,144,389,0,0,357,Standard
511,155,371,0,0,353,Standard
527,161,349,0,0,341,Standard
528,177,334,0,0,320,Standard
532,190,323,0,0,322,Standard
528,176,358,0,0,326,Standard
524,141,382,0,0,327,Standard
511,136,384,0,0,333,Standard
515,147,356,0,0,336,Standard
511,160,359,0,0,336,Standard
504,153,371,0,0,349,Standard
504,130,388,0,0,357,Standard
499,48,431,0,0,384,Standard
527,0,446,0,0,382,Standard
497,16,436,0,0,389,Standard
491,37,444,0,0,393,Standard
491,46,439,0,0,399,Standard
489,48,437,0,0,426,Standard
490,17,438,0,0,459,Standard
479,0,443,0,0,480,Standard
480,0,434,0,0,496,Standard
478,0,435,0,0,497,Standard
474,0,439,0,0,495,Standard
471,8,446,0,0,510,Standard
470,0,449,0,0,511,Standard
466,0,454,0,0,524,Standard
469,0,457,0,0,528,Standard
466,17,451,0,0,535,Standard
470,4,449,0,0,558,Standard
471,0,445,0,0,575,Standard
465,0,447,0,0,577,Standard
464,0,439,0,0,578,Standard
459,0,436,0,0,581,Standard
462,0,437,0,0,579,Standard
469,0,432,0,0,576,Standard
464,2,421,0,0,560,Standard
464,0,426,0,0,544,Standard
477,16,435,0,0,525,Standard
482,0,446,0,0,488,Standard
483,0,452,0,0,469,Standard
483,0,461,0,0,466,Standard
480,11,451,0,0,458,Standard
477,15,460,0,0,450,Standard
491,16,468,0,0,455,Standard
489,16,467,0,0,433,Standard
491,16,464,0,0,416,Standard
481,48,469,0,0,400,Standard
500,13,461,0,0,385,Standard
502,46,442,0,0,368,Standard
496,96,428,0,0,359,Standard
498,126,421,0,0,351,Standard
501,140,414,0,0,335,Standard
509,156,403,0,0,321,Standard
507,176,407,0,0,327,Standard
506,178,415,0,0,321,Standard
510,185,400,0,0,321,Standard
511,190,387,0,0,316,Standard
526,193,386,0,0,311,Standard
531,191,368,0,0,309,Standard
526,177,403,2,0,316,Standard
523,154,426,5,0,317,Standard
507,128,443,20,0,318,Standard
496,128,467,34,0,329,Standard
478,106,511,16,0,350,Standard
466,67,537,16,0,367,Standard
474,0,563,9,0,393,Standard
478,0,573,16,0,384,Standard
463,0,571,19,0,383,Standard
459,34,549,9,0,391,Standard
469,40,494,0,0,395,Standard
484,56,477,0,0,394,Standard
474,59,493,0,0,402,Standard
465,64,493,0,0,423,Standard
464,34,479,0,0,442,Standard
471,0,496,0,0,464,Standard
471,0,494,0,0,485,Standard
466,0,487,0,0,507,Standard
465,0,465,0,0,531,Standard
464,11,450,0,0,549,Standard
467,0,446,0,0,563,Standard
464,0,435,0,0,563,Standard
453,7,434,0,0,561,Standard
449,16,432,0,0,575,Standard
450,20,426,0,0,569,Standard
449,16,432,0,0,574,Standard
451,16,406,0,0,570,Standard
443,27,418,0,0,580,Standard
448,5,406,0,0,592,Standard
448,0,421,0,0,597,Standard
438,0,438,0,0,592,Standard
434,0,461,0,0,592,Standard
438,0,474,0,0,598,Standard
435,0,478,0,0,607,Standard
432,0,481,0,0,596,Standard
433,0,482,0,0,602,Standard
433,0,476,0,0,590,Standard
449,0,447,0,0,576,Standard
456,0,419,0,0,537,Standard
464,33,389,0,0,507,Standard
472,48,381,0,0,528,Standard
473,54,382,0,0,537,Standard
472,48,387,0,0,553,Standard
481,35,399,0,0,550,Standard
483,16,400,0,0,539,Standard
485,31,399,0,0,534,Standard
485,38,378,0,0,528,Standard
491,36,359,0,0,508,Standard
495,63,354,0,0,476,Standard
489,73,371,0,0,454,Standard
490,68,393,0,0,477,Standard
496,0,420,0,0,511,Standard
485,0,447,0,0,528,Standard
479,0,458,0,0,551,Standard
459,8,453,0,0,542,Standard
449,18,447,0,0,531,Standard
458,0,454,0,0,550,Standard
459,0,432,0,0,555,Standard
467,0,421,0,0,567,Standard
467,13,413,0,0,577,Standard
471,2,415,0,0,567,Standard
482,13,394,0,0,542,Standard
482,37,384,0,0,468,Standard
496,84,337,0,0,429,Standard
504,133,304,0,0,403,Standard
511,160,294,0,0,386,Standard
511,165,302,0,0,385,Standard
511,171,312,0,0,379,Standard
510,166,324,0,0,368,Standard
507,175,333,0,0,352,Standard
510,182,334,0,0,343,Standard
511,176,345,0,0,345,Standard
527,173,357,0,0,335,Standard
523,174,356,0,0,335,Standard
511,164,366,0,0,334,Standard
511,144,369,2,0,336,Standard
511,48,400,24,0,368,Standard
529,0,438,26,0,368,Standard
511,0,432,0,0,407,Standard
489,0,446,0,0,460,Standard
475,0,452,16,0,478,Standard
463,0,482,0,0,496,Standard
465,0,470,0,0,490,Standard
467,0,465,0,0,478,Standard
466,20,439,0,0,479,Standard
477,27,432,0,0,492,Standard
469,47,416,0,0,494,Standard
465,39,416,0,0,499,Standard
464,43,412,0,0,522,Standard
477,33,403,0,0,532,Standard
481,50,393,0,0,505,Standard
478,55,381,0,0,503,Standard
484,54,368,0,0,479,Standard
494,71,368,0,0,473,Standard
497,72,366,0,0,456,Standard
496,100,352,0,0,458,Standard
487,128,353,0,0,459,Standard
486,149,357,0,0,451,Standard
490,155,347,0,0,442,Standard
494,143,349,0,0,433,Standard
